漢字,田町読み（新しい詳細読み）　ひらがな・漢字
衰,すいじゃくするのすい，おとろえる
遂,すいこうするのすい，とげる
酔,よう，でいすいのすい
錐,しかくすいのすい
錘,ぼうすいけいのすい，おもり
随,ずいひつのずい
瑞,ずいうんのずい，しるし
髄,せきずいのずい
崇,すうはいするのすう，あがめる
嵩,かさあげするのかさ
数,さんすうのすう，かず
枢,ちゅうすうのすう
趨,すうせいのすう
雛,ひなまつりのひな
据,すえる，すえおきのすえ
杉,すぎのきのすぎ
椙,すぎ，きへんににちがふたつ
菅,すげがさのすげ，かん
頗,すこぶる
雀,すずめ，じゃく
裾,すそののすそ
澄,みずがすむのすむ
摺,てすりあしすりのすり
寸,すんぽうのすん
世,せかいのせ，よ
瀬,せともののせ
畝,はたけのうね，めんせきのたんいのせ
是,ぜひのぜ
凄,せいさんなのせい，すごい
制,せいげんするのせい
勢,せいりょくのせい，いきおい
姓,せいめいはんだんのせい
征,えんせいぐんのせい
性,こせいてきのせい
成,せいちょうするのせい，なる
政,せいじかのせい
整,せいりするのせい，ととのえる
星,ほし，せいざのせい
晴,はれ，せいてんのせい
棲,どうせいするのせい，すむ
栖,すむ，せい，きへんににし
正,ただしい，しょうがつのしょう
清,せいけつのせい，きよい
牲,ぎせいしゃのせい
生,いきる，せいかつのせい
盛,おおもりのもり，せい
精,せいしんてきのせい
聖,せいかりれーのせい
声,こえ，おんせいのせい
製,せいぞうするのせい
西,にしひがしのにし，せい
誠,せいじつなのせい，まこと
誓,ちかう，せいやくしょのせい
請,せいきゅうしょのせい，こう
逝,せいきょするのせい，ゆく
醒,かくせいざいのせい，さめる
青,あおい，せいしゅんのせい
静,れいせいのせい，しずか
斉,いっせいしゃげきのせい
税,ぜいきんのぜい
脆,ぜいじゃくなのぜい，もろい
隻,ふねいっせきのせき
席,ざせきのせき
惜,おしむ，せきはいのせき
戚,とおいしんせきのせき
斥,はいせきするのせき，しりぞける
昔,むかしばなしのむかし
析,ぶんせきするのせき
石,ほうせきのせき，いし
積,めんせきのせき，つもる
籍,こくせきのせき
績,せいせきひょうのせき
脊,せきずいのせき
責,せきにんのせき
赤,あかんぼうのあか，せき
跡,ついせきするのせき，あと
蹟,きせきのせき，あしへんにせきにんのせき
碩,せきがくのせき，いしへんにぺーじ
切,たいせつのせつ，きる
拙,ちせつのせつ，つたない
接,せつぞくするのせつ
摂,せっせいするのせい，とる
折,こっせつのせつ，おる
設,せつびのせつ
窃,せっとうはんのせつ
節,きせつのせつ，ふし
説,せつめいのせつ，とく
雪,ゆきだるまのゆき，せつ
絶,ぜったいてきのぜつ
舌,したをかむのした
蝉,せみしぐれのせみ
仙,せんにんのせん，にんべんにやま
先,せんせいのせん，さき
千,かんすうじのせん
占,どくせんするのせん，しめる
宣,せんでんのせん
専,せんもんのせん
尖,とがる，せんえいのせん
川,かせんのせん，かわ
戦,せんそうのせん，たたかう
扇,せんぷうきのせん，おうぎ
撰,ちょくせんわかしゅうのせん，えらぶ
栓,せんぬきのせん
栴,しょくぶつのせんだんのせん
泉,おんせんのせん，いずみ
浅,あさいふかいのあさい
洗,せんたくもののせん，あらう
染,せんしょくのせん，そめる
潜,せんすいかんのせん，もぐる
煎,せんちゃのせん，いる
煽,あおる，せんどうするのせん
旋,せんかいするのせん
穿,うがつ，せんこうするのせん
箭,せん，たけかんむりにまえ
線,せんろのせん
繊,かがくせんいのせん
羨,せんぼうするのせん，うらやむ
腺,こうじょうせんのせん
舛,そむくをいみするせん，ます
船,ふね，せんちょうのせん
薦,すいせんじょうのせん，すすめる
詮,せんさくするのせん
賎,いやしい，せん
践,じっせんするのせん
選,せんきょのせん，えらぶ
遷,させんするのせん
銭,つりせんのせん
銑,せんてつのせん，かねへんにさき
閃,ひらめき，せんこうのせん
鮮,しんせんなのせん，あざやか
前,まえ，ぜんごのぜん
善,ぜんあくのぜん，よい
漸,ぜんぞうするのぜん，ようやく
然,だいしぜんのぜん
全,ぜんこくのぜん，まったく
禅,ざぜんのぜん
繕,しゅうぜんするのぜん，つくろう
膳,あげぜんすえぜんのぜん
糎,ながさのたんいのせんちめーとる
噌,みそのそ
塑,かそせいのそ
岨,けんそのそ，やまへんにかつ
措,そちするのそ
曾,きそじのそのきゅうじ
曽,きそじのそ
楚,しめんそかのそ
狙,そげきのそ，ねらう
疏,そすいのそ，べんそのそ
疎,かそちのそ
礎,きそてきなのそ，いしずえ
祖,そせんのそ
租,そぜいのそ
粗,そまつなのそ，あらい
素,そしつのそ
組,くみ，そしきのそ
蘇,そせいするのそ，よみがえる
訴,うったえる，そしょうのそ
阻,そしするのそ，はばむ
遡,さかのぼる，そじょうするのそ
鼠,ねずみ
僧,そうりょのそう
創,そうりつするのそう
双,そうがんきょうのそう
叢,そうしょのそう，くさむら
倉,そうこのそう，くら
喪,もちゅうのも
壮,そうだいなのそう
奏,えんそうするのそう，かなでる
爽,さわやか，そうかいなのそう
宋,ちゅうごくのこくめいのそう
層,こうそうびるのそう
匝,そう，はこがまえにはば
惣,おそうざいのそう
想,かんそうぶんのそう
捜,そうさじょうのそう，さがす
掃,そうじするのそう，はく
挿,そうにゅうするのそう，さす
掻,ひっかくのかく，かっかそうようのそう
操,そうじゅうするのそう，あやつる
早,そうちょうのそう，はやい
曹,そうとうしゅうのそう
巣,はちのすのす
槍,やりなげのやり
槽,よくそうのそう
漕,こぐ，そうていのそう
燥,かんそうきのそう
争,きょうそうのそう，あらそう
痩,やせる，そうしんのそう
相,そうだんするのそう，あい
窓,まどぐちのまど，そう
糟,かす，そうこうのつまのそう
総,そうりだいじんのそう
綜,さくそうするのそう，いとへんにしゅうきょうのしゅう
聡,そうめいなのそう，さとい
草,くさ，そうげんのそう
荘,べっそうちのそう
葬,そうしきのそう，ほうむる
蒼,がんめんそうはくのそう，あおい
藻,うみのもくずのも，そう
装,ふくそうのそう
走,はしる，きょうそうのそう
送,ほうそうきょくのそう，おくる
遭,そうなんするのそう
鎗,やり，かねへんにくら，そう
霜,しもばしらのしも
騒,さわぐ，そうおんのそう
像,ぶつぞうのぞう
増,ぞうかするのぞう，ふえる
憎,にくむ，ぞうおのぞう
臓,しんぞうかんぞうのぞう
蔵,れいぞうこのぞう
贈,ぞうとうひんのぞう，おくる
造,かいぞうのぞう，つくる
促,さいそくするのそく，うながす
側,りょうがわのがわ，そく
則,ほうそくのそく
即,そくざにのそく，すなわち
息,いきをするのいき，そく
捉,とらえる，てへんにあし
束,やくそくのそく
測,そくていのそく，はかる
足,あし，えんそくのそく
速,そくどのそく，はやい
俗,ふうぞくのぞく
属,ふぞくのぞく
賊,さんぞくのぞく
族,すいぞくかんのぞく
続,れんぞくのぞく，つづく
卒,そつぎょうのそつ
袖,ふりそでのそで
其,そのたのそ
揃,そろえる
存,そんざいするのそん
孫,まごのてのまご，そん
尊,そんけいするのそん，とうとぶ
損,そんがいのそん
村,むら，しちょうそんのそん
遜,けんそんするのそん
他,たにんのた
多,おおいすくないのおおい，た
太,ふといほそいのふとい，たい
汰,しぜんとうたのた
詑,た，ごんべんにうかんむりにかたかなのひ
唾,だえきのだ，つば
堕,だらくするのだ
妥,だきょうするのだ
惰,たいだのだ
打,たげきのだ，うつ
柁,かじ，きへんにうかんむりにかたかなのひ
舵,かじ，そうだしゅのだ
楕,だえんけいのだ
陀,あみだぶつのだ
駄,だがしのだ
騨,ひだたかやまのだ
体,からだ，たいいくのたい
堆,たいせきぶつのたい
対,はんたいのたい
耐,にんたいのたい，たえる
岱,だいひょうのだいのしたにやま，たい
帯,けいたいのたい，おび
待,きたいするのたい，まつ
怠,たいまんのたい，なまける
態,たいどのたい
戴,たいかんしきのたい，いただく
替,ふりかえこうざのかえる
泰,あんたいのたい
滞,じゅうたいするのたい，とどこおる
胎,じゅたいするのじゅ
腿,だいたいこつのたい，もも
苔,しょくぶつのこけ，たい
袋,ふくろ，ゆうたいるいのたい
貸,ほんをかすのか
退,たいくつのたい
逮,たいほじょうのたい
隊,ぐんたいのたい
黛,まゆずみ
鯛,さかなのたい
代,だいひょうのだい，かわる
台,だいどころのだい
大,だいしょうのだい，おおきい
第,だいいちいんしょうのだい
醍,だいごみのだい
題,しゅくじゅだいのだい
鷹,とりのたか
滝,たきつぼのたき
瀧,たきのきゅうじ
卓,たっきゅうのたく
啄,たくぼくのたく，ついばむ
宅,じゅうたくのたく
托,たくはつのたく
択,せんたくしのたく
拓,かいたくするのたく
沢,こうたくのたく，さわ
濯,せんたくもののたく
琢,せっさたくまのたく，みがく
託,たくじしょのたく
鐸,どうたくのたく
濁,にごる，だくりゅうのだく
諾,しょうだくするのだく
茸,まつたけのたけ，きのこ
凧,たこあげのたこ
蛸,ぎょかいるいのたこ
只,ただいまのただ
叩,かたたきのたたく
但,ただしがきのただし
達,はいたつのたつ
辰,たつ，じゅうにしのたつ
奪,うばう，りゃくだつのだつ
脱,ぬぐ，だつぼうのだつ
巽,ほうがくのたつみ
竪,たてごとのたて
辿,たどる
棚,たなおろしのたな
谷,たにがわのたに，こく
狸,たぬき
鱈,たら，さかなへんにゆき
樽,たるざけのたる
誰,だれかさんのだれ
丹,たんねんなのたん
単,たんじゅんのたん
嘆,なげく，たんがんするのたん
坦,へいたんなみちのたん
担,たんにんのたん
探,たんけんのたん，さがす
旦,がんたんのたん
歎,なげく，たんにしょうのたん
淡,たんすいぎょのたん，あわい
湛,みずをたたえるのたん
炭,せきたんのたん，すみ
短,ちょうたんのたん，みじかい
端,たんまつのたん，はし
箪,たんすのたん
綻,はたんするのたん，ほころびる
耽,たんできするのたん，ふける
胆,だいたんなのたん
蛋,たんぱくしつのたん
誕,たんじょうびのたん
鍛,きたえる，たんれんのたん
団,だんたいこうどうのだん
壇,ぶつだんのだん
弾,だんりょくのだん，はずむ
断,はんだんのだん
暖,だんぼうのだん，あたたかい
檀,だんかのだん
段,しゅだんのだん
男,おとこ，だんしのだん
談,じょうだんをいうのだん
値,ねだんのね，あたい
知,ちしきのち，しる
地,ちきゅうのち
弛,ゆるむ，しかんするのし
恥,はじをかくのはじ
智,ち，しるのしたににちようびのにち
池,ちょすいちのち，いけ
痴,ぐちのち
稚,ようちえんのち
置,そうちのち，おく
致,いっちするのち，いたす
蜘,くも，むしへんにちしきのち
遅,おそい，ちこくのち
馳,ごちそうのち，はせる
築,けんちくのちく，きずく
畜,かちくのちく
竹,たけ，しょうちくばいのちく
筑,ちくぜんにのちく
蓄,ちょちくのちく
逐,ちくじのちく
秩,ちつじょのちつ
窒,ちっそのちつ
茶,ちゃいろのちゃ
嫡,ちゃくなんのちゃく
着,きもののき，ちゃく
中,ちゅうがくのちゅう，なか
仲,なかまのなか
宙,うちゅうせんのちゅう
忠,ちゅうこくするのちゅう
抽,ちゅうせんのちゅう
昼,ひるやすみのひる，ちゅう
柱,はしら，ちゅう
注,ちゅうもくするのちゅう，そそぐ
虫,むし，こんちゅうのちゅう
衷,わようせっちゅうのちゅう
註,ちゅうしゃくのちゅう，ごんべんにしゅじんこうのしゅ
酎,いもじょうちゅうのちゅう
鋳,ちゅうぞうするのちゅう，いる
駐,ちゅうしゃじょうのちゅう
樗,しょくぶつのおうち，ちょ
瀦,みずたまりをいみするちょ
猪,いのしし，ちょとつもうしんのちょ
苧,しょくぶつのからむし，ちょ
著,ちょしゃのちょ，いちじるしい
貯,ちょきんのちょ，たくわえる
丁,いっちょうめのちょう
兆,いっちょうえんのちょう
凋,ちょうらくのちょう，しぼむ
喋,しゃべる
寵,ちょうあいをうけるのちょう
帖,てちょうのちょう，はばにうらなう
帳,れんらくちょうのちょう
庁,きしょうちょうのちょう
弔,とむらう，ちょうじのちょう
張,きんちょうするのちょう，はる
彫,ちょうこくかのちょう，ほる
徴,とくちょうてきなのちょう
懲,こらしめる，ちょうばつのちょう
挑,ちょうせんするのちょう，いどむ
暢,りゅうちょうなのちょう
朝,あさひのあさ，ちょう
潮,まんちょうのちょう，しお
牒,さいごつうちょうのちょう，ふだ
町,まち，しちょうそんのちょう
眺,ながめる，ちょうぼうのちょう
聴,ちょうかくのちょう，きく
脹,ぼうちょうするのちょう，にくづきにながい
腸,だいちょう，しょうちょうのちょう
蝶,あげはちょうのちょう
調,ちょうさのちょう，しらべる
諜,ちょうほうきかんのちょう
超,ちょうのうりょくのちょう，こえる
跳,ちょうやくするのちょう，とぶ
銚,おちょうしのちょう
長,ながい，ちょうたんのちょう
頂,ちょうてんのちょう，いただき
鳥,とり，やちょうのちょう
勅,ちょくめいのちょく
捗,しんちょくじょうきょうのちょく，はかどる
直,ちょくせんのちょく，なおる
朕,ちんおもうにのちん
沈,ちんぼつするのちん，しずむ
珍,めずらしい，ちんみのちん
賃,ちんぎんのちん
鎮,ちんあつするのちん，しずめる
陳,ちんれつするのちん
津,つなみのつ，しん
墜,ついらくするのつい
椎,せきついのつい，しい
槌,てっついのつい，つち
追,ついせきするのつい，おう
鎚,かねへんのつち
痛,ずつうのつう，いたい
通,こうつうのつう，とおる
塚,つか，かいづかのつか
栂,しょくぶつのつが，きへんにはは
掴,つかむ，てへんにくに
槻,しょくぶつのつき，きへんにきそくてきのき
佃,つくだにのつくだ
漬,つけもののつける
柘,ざくろのいちもじめ，きへんにいし
辻,よつつじのつじ
蔦,しょくぶつのつた
綴,つづる
鍔,かたなのつば，がく
椿,しょくぶつのつばき，きへんにはる
潰,つぶれる，いかいようのかい
坪,たてつぼのつぼ
壷,おもうつぼのつぼ
嬬,つま，おんなへんにひつじゅひんのじゅ
紬,つむぎ，いとへんにりゆうのゆう
爪,つめきりのつめ
吊,つるす，くちのしたにはば
釣,さかなつりのつり
鶴,とりのつる
亭,ていしゅのてい
低,ひくい，てい
停,ていしゃのてい
偵,ていさつするのてい
剃,そる，ていはつのてい
貞,ていしゅくのてい
呈,ぞうていするのてい
堤,ていぼうのてい，つつみ
定,よていのてい，さだめる
帝,ていおうのてい，みかど
底,そこぢからのそこ，てい
庭,ていえんのてい，にわ
廷,きゅうていぶんがくのてい
弟,あにおとおとのおとおと
悌,てい，りっしんべんにおとうと
抵,ていこうするのてい
挺,くうていぶたいのてい
提,ていあんのてい
梯,はしご，きへんにおとうと
汀,みぎわ，さんずいにいっちょうめのちょう
碇,ていはくのてい，いかり
禎,てい，しめすへんにていしゅくのてい
程,にっていのてい，ほど
締,ていけつするのてい，しめる
艇,ひこうていのてい
訂,ていせいするのてい
諦,あきらめる，ていかんするのてい
蹄,ていてつのてい，ひづめ
逓,ていしんしょうのてい
邸,ていたくのてい，やしき
鄭,じんめいのていせいこうのてい
釘,くぎ
鼎,ていだんのてい，かなえ
泥,でいすいのでい，どろ
摘,てきはつするのてき，つむ
擢,ばってきするのてき
敵,てきみかたのてき
滴,すいてきのてき，しずく
的,もくてきのてき
笛,ふえをふくのふえ
適,てきとうのてき
鏑,かぶらやのかぶら
溺,できあいするのでき，おぼれる
哲,てつがくのてつ
徹,てつやするのてつ
撤,てったいするのてつ
轍,わだち
迭,こうてつするのてつ
鉄,てつどうのてつ
典,こくごじてんのてん
填,じゅうてんするのてん，はめる
天,てんきよほうのてん
展,はってんのてん
店,みせ，しょうてんのてん
添,そえる，てんぷするのてん
纏,はんてんのてん，まとう
甜,てんさいとうのてん
貼,はる，かいへんにうらなう
転,うんてんのてん，ころがす
顛,ことのてんまつのてん
点,てんすうのてん
伝,でんせつのでん，つたえる
殿,とのさまのとの
澱,ちんでんするのでん，よどむ
田,すいでんのでん，た
電,でんわのでん
兎,うさぎ
吐,といきのと，はく
堵,あんどするのと
塗,とそうのと，ぬる
妬,しっとするのと，ねたむ
屠,とさつするのと，ほふる
徒,とほのと
斗,ほくとしちせいのと
杜,もり，きへんにつち
渡,はしをわたるのわたる
登,とざんのと，のぼる
菟,と，くさかんむりにうさぎ
賭,とばくのと，かける
途,とちゅうのと
都,とかいのと，みやこ
鍍,ときんのと，かねへんにおんどけいのど
砥,といしのと
砺,れい，いしへんにがんだれにまん
努,どりょくのど
度,おんどけいのど
土,どようびのど，つち
奴,どれいのど，やつ
怒,げきどするのど，いかる
倒,とうさんするのとう，たおれる
党,よとうやとうのとう
冬,ふゆやすみのふゆ，とう
凍,れいとうするのとう，こおる
刀,かたな，にほんとうのとう
唐,けんとうしのとう
塔,ごじゅうのとう
塘,とう，つちへんにけんとうしのとう
套,じょうとうしゅだんのとう
宕,とう，あたごのにもじめ，うかんむりにいし
島,しまぐにのしま，とう
嶋,とう，やまへんにとりのしま
悼,あいとうのとう，いたむ
投,とうしゅのとう，なげる
搭,とうじょうてつづきのとう
東,とうざいのとう，ひがし
桃,ももたろうのもも
梼,とう，きへんにことぶき
棟,びょうとうのとう，むね
盗,とうなんのとう，ぬすむ
淘,しぜんとうたのとう
湯,ねっとうのとう，ゆ
涛,とう，さんずいにことぶき
灯,けいこうとうのとう
燈,とうだいのとう，ひへんにのぼる
当,とうばんのとう，あたる
痘,てんねんとうのとう
祷,もくとうするのとう，いのる
等,いっとうしょうのとう，ひとしい
答,こたえ，とうあんのとう
筒,つつ，すいとうのとう
糖,ぶどうとうのとう
統,とういつのとう
到,とうちゃくするのとう，いたる
董,こっとうひんのとう
蕩,ほうとうむすこのとう
藤,ふじのはなのふじ，とう
討,とうろんするのとう
謄,こせきとうほんのとう
豆,とうふのとう，まめ
踏,ふむ，ざっとうのとう
逃,にげる，とうぼうするのとう
透,とうめいなのとう，すける
鐙,あぶみ
陶,とうげいかのとう
頭,あたま，ずつうのず
騰,ふっとうするのとう
闘,とうぎゅうしのとう，たたかう
働,ろうどうのどう，はたらく
動,どうぶつのどう，うごく
同,おなじ，どうじのどう
堂,こっかいぎじどうのどう
導,ゆうどうのどう，みちびく
憧,どうけいのどう，あこがれる
撞,じかどうちゃくのどう，つく
洞,どうくつのどう，ほら
瞳,ひとみ，どうこうのどう
童,ぐりむどうわのどう
胴,どうあげのどう
萄,ぶどうしゅのどう
道,みち，どうろのどう
銅,どうめだるのどう
峠,とうげのちゃやのとうげ
鴇,とりのとき
匿,とくめいのとく，かくす
得,とくいのとく，える
徳,どうとくのとく
涜,ぼうとくするのとく，けがす
特,とくべつのとく
督,えいがかんとくのとく
禿,はげやまのはげ
篤,きとくじょうたいのとく
毒,しょうどくのどく
独,どくりつのどく
読,よむ，どくしょのどく
栃,とちぎけんのとち
橡,きへんにどうぶつのぞう，とち
凸,おうとつのとつ
突,しょうとつするのとつ，つく
椴,とどまつのとど，きへんにしゅだんのだん
届,とどける
鳶,とりのとび
苫,とまこまいしのとま
寅,とら，じゅうにしのとら
酉,とり，じゅうにしのとり
瀞,ながとろのとろ，さんずいにしずか
噸,おもさのたんいのとん
屯,ちゅうとんするのとん
惇,りっしんべんにきょうらくてきのきょう，とん
敦,ちゅうごくのとんこうのとん
沌,こんとんとしたのとん
豚,ぶた，とんじるのとん
遁,とんそうするのとん
頓,せいとんするのとん
呑,へいどんするのどん，のむ
曇,くもり，どんてんのどん
鈍,どんかんなのどん，にぶい
奈,ならけんのな
那,わかだんなのな
内,こくないのない，うち
乍,むかしながらのながら
凪,ゆうなぎのなぎ
薙,くさなぎのなぎ
謎,なぞをとくのなぞ
灘,なだ，さんずいにむずかしい
捺,なついんするのなつ
鍋,なべもののなべ
楢,ならのきのなら
馴,かいならすのならす，じゅん
縄,なわ，じょうもんどきのじょう
畷,しじょうなわてしのなわて
南,なんぼくのなん，みなみ
楠,くすのきのくす，きへんにみなみ
軟,じゅうなんのなん，やわらか
難,こんなんのなん，むずかしい
汝,なんじ，さんずいにおんな
二,かんすうじのに
尼,あまでらのあま，に
弐,けいやくしょにつかうすうじのに
迩,しんにょうになんじのいたいじのに
匂,いいにおいのにおい
賑,にぎわう，いんしんのしん
肉,ぎゅうにくのにく
虹,にじ，なないろのにじ
廿,かんすうじのにじゅう
日,にちようびのにち，ひ
乳,ぎゅうにゅうのにゅう，ちち
入,はいる，にゅうがくのにゅう
如,とつじょのじょ
尿,とうにょうびょうのにょう
韮,しょくぶつのにら
任,せきにんのにん
妊,にんしんするのにん
忍,にんじゃのにん，しのぶ
認,かくにんのにん，みとめる
濡,ぬれる
禰,すくねのね，しめすへんになんじ
祢,ね，しめすへんになんじのいたいじ
寧,ていねいのねい
葱,しょくぶつのねぎ
猫,やまねこのねこ
熱,ねつ，あつい
年,がくねんのねん，とし
念,ざんねんのねん
捻,ねんざのねん，ひねる
撚,ひねる，てへんにしぜんのぜん
燃,ねんりょうのねん，もえる
粘,ねばる，ねんどのねん
乃,のぎたいしょうのの，すなわち
廼,えんにょうににし，ない
之,これ，あくたがわりゅうのすけのの
埜,や，はやしのしたにつち
嚢,ひょうのうののう，ふくろ
悩,なやむ，くのうするののう
濃,のうたんののう，こい
納,のうぜいののう，おさめる
能,さいのうののう
脳,ずのうののう
膿,かのうするののう，うみ
農,のうぎょうののう
覗,のぞきみるののぞく
蚤,むしののみ
巴,ともえなげのともえ
把,はあくするのは
播,でんぱするのは，まく
覇,せいはするのは
杷,しょくぶつのびわのは，きへんにともえ
波,つなみのなみ，は
派,はばつのは
琶,びわこのにもじめのは
破,はかいするのは，やぶる
婆,ろうばしんのば
罵,ばせいのば，ののしる
芭,ばしょうのば
馬,うま，ばしゃのば
俳,はいくのはい
廃,はいしするのはい，すたれる
拝,おがむ，はいけいのはい
排,はいじょするのはい
敗,はいぼくのはい，やぶれる
杯,かんぱいのはい，さかずき
盃,さかずき，ふしぎのふのしたにさら
牌,いはいのはい，ふだ
背,せぼねのせ
肺,はいかつりょうのはい
輩,せんぱいこうはいのはい
配,はいたつのはい，くばる
倍,ばいりつのばい
培,さいばいするのばい，つちかう
媒,ばいかいするのばい
梅,うめぼしのうめ
楳,きへんになにがしのぼう，うめ
煤,すす，ばいえんのばい
狽,ろうばいするのばい
買,かう，ばいしゅうのばい
売,しょうばいのばい，うる
賠,ばいしょうきんのばい
陪,ばいしんいんのばい
這,はう
蝿,むしのはえ
秤,てんびんのびん，はかり
矧,やへんにいんようするのいん，はぐ
萩,しょくぶつのはぎ
伯,はくしゃくのはく
